words,links,capital_words,spam_word_count,is_spam
31,2,2,0,0
43,2,1,1,0
383,4,15,5,1
184,1,2,0,0
277,1,5,2,0
224,5,3,1,0
39,1,0,0,0
599,4,15,10,1
242,2,2,1,0
87,10,9,8,1
507,0,21,8,1
192,7,17,9,1
207,0,3,1,0
127,0,3,6,0
35,0,1,1,0
67,4,7,2,0
698,8,14,0,1
162,5,5,9,1
758,10,26,0,1
948,5,26,1,1
769,3,2,6,1
880,8,24,10,1
878,7,25,3,1
76,0,7,6,0
402,3,4,10,1
899,2,21,7,1
632,4,24,4,1
676,5,24,5,1
119,3,5,4,1
158,1,3,0,0
136,2,0,5,0
51,1,2,0,0
169,0,0,2,0
733,3,0,5,1
256,1,3,1,0
129,2,21,7,1
717,5,30,4,1
188,0,0,1,0
177,2,3,0,0
750,8,5,10,1
168,1,29,4,1
346,0,2,9,1
36,2,1,0,0
268,2,1,1,0
380,4,4,7,1
179,4,13,10,1
184,2,0,0,0
130,1,3,2,0
158,9,12,7,1
398,1,0,1,0
108,6,9,2,1
342,10,8,4,1
60,4,0,0,0
195,2,5,0,1
168,2,1,4,0
558,0,10,5,1
140,2,20,3,1
149,1,0,1,0
83,2,23,3,1
134,4,3,1,0
148,2,15,3,1
174,0,2,1,0
777,2,5,4,1
126,2,0,2,0
123,3,5,4,1
159,6,19,7,1
275,2,26,7,1
247,2,3,2,0
143,0,4,0,0
716,4,9,8,1
119,1,11,5,1
388,5,17,5,1
220,9,24,2,1
104,3,3,8,1
144,2,3,1,0
73,2,2,0,0
882,0,0,9,1
265,2,1,2,0
94,0,1,2,0
207,0,2,0,0
77,2,0,0,0
134,1,1,3,0
513,2,23,3,1
176,8,24,1,1
933,6,14,9,1
482,2,1,2,0
106,0,1,3,0
189,4,8,9,1
265,0,4,3,0
132,6,14,7,1
232,1,2,0,0
29,4,2,0,0
946,7,16,10,1
493,4,30,2,1
89,5,15,9,1
888,2,8,5,1
82,10,8,0,1
208,2,8,1,0
243,1,3,2,0
146,4,12,7,1
933,3,29,4,1
161,3,3,0,0
450,1,7,0,0
513,4,4,1,1
175,1,13,6,1
421,7,17,5,1
76,5,0,2,0
118,1,3,0,0
176,3,12,3,1
202,0,2,0,0
937,4,8,4,1
558,6,0,10,1
916,6,22,7,1
868,10,16,5,1
254,0,1,2,0
688,7,29,3,1
90,3,7,5,1
162,2,3,5,0
198,1,3,9,1
743,6,7,0,1
123,4,30,8,1
172,9,2,6,1
279,6,10,7,1
286,2,1,2,0
180,7,21,4,1
951,9,2,4,1
161,2,1,1,0
211,0,18,0,1
204,1,8,2,0
514,2,11,3,1
88,2,2,0,0
263,1,4,2,0
248,2,1,1,0
302,7,15,0,1
560,9,11,0,1
160,9,20,0,1
87,0,3,0,0
240,1,1,1,0
458,7,16,8,1
388,7,1,8,1
25,4,0,5,0
137,7,18,7,1
277,2,1,2,0
405,1,1,2,0
35,1,0,2,0
283,4,26,6,1
126,4,3,1,0
230,0,2,5,0
149,2,8,0,0
734,5,20,5,1
124,9,7,5,1
171,1,0,5,1
161,4,8,8,1
543,1,4,10,1
178,2,1,2,0
221,1,2,2,0
187,2,4,3,0
283,0,2,0,0
776,10,9,3,1
477,10,15,8,1
951,8,8,6,1
103,1,3,2,0
31,0,3,2,0
770,9,0,7,1
731,3,13,7,1
199,0,2,4,0
244,2,1,1,0
493,2,5,1,0
172,3,2,2,0
275,0,9,1,0
105,1,2,1,0
163,3,1,4,0
626,7,4,4,1
615,2,14,4,1
535,3,11,3,1
231,0,4,2,0
258,5,9,2,0
573,2,27,5,1
870,3,20,3,1
159,2,2,1,0
147,0,3,2,0
846,3,16,5,1
45,0,2,0,0
375,1,6,1,0
164,1,2,5,0
65,7,15,6,1
195,1,2,2,0
190,10,1,4,1
260,2,10,2,0
177,2,1,0,0
167,9,9,4,1
81,10,0,8,1
910,9,9,5,1
207,2,2,2,0
224,4,26,2,1
748,3,22,3,1
80,3,1,6,0
542,2,12,3,1
270,1,3,4,0
213,0,0,4,0
375,3,3,3,1
97,7,4,6,1
162,9,21,4,1
273,0,1,2,0
291,5,1,0,0
80,3,1,0,0
699,7,7,6,1
456,3,11,10,1
633,8,5,10,1
627,8,8,6,1
580,3,26,3,1
730,4,15,0,1
832,6,25,1,1
149,1,7,2,0
161,5,27,6,1
761,3,8,4,1
696,4,3,3,1
749,2,0,4,1
238,1,6,2,0
92,4,5,2,0
843,5,8,5,1
79,0,3,2,0
259,3,3,2,0
326,8,11,4,1
254,0,1,1,0
313,10,28,10,1
223,0,0,0,0
117,2,24,5,1
629,9,7,2,1
373,4,1,3,0
183,4,2,3,0
140,8,15,5,1
672,5,23,4,1
261,1,2,2,0
107,2,2,6,0
299,2,6,7,1
185,1,0,7,1
183,3,4,3,1
132,0,26,5,1
131,2,27,10,1
205,1,0,2,0
632,8,28,8,1
577,4,27,9,1
197,1,10,0,0
253,2,0,1,0
94,1,2,0,0
923,6,19,9,1
960,9,19,8,1
281,0,30,4,1
55,2,10,5,0
127,2,2,5,0
217,2,30,7,1
274,0,1,1,0
187,4,10,3,0
214,4,19,9,1
119,2,0,5,0
230,1,2,2,0
269,2,0,5,0
516,9,2,4,1
302,0,11,7,1
270,2,3,0,0
184,2,3,2,0
283,2,0,3,0
291,0,3,0,0
72,2,19,4,1
147,1,3,0,0
338,6,25,4,1
638,7,25,9,1
37,2,2,2,0
747,8,18,5,1
855,7,22,4,1
33,2,1,1,0
184,9,28,7,1
146,4,28,5,1
327,0,3,0,0
200,1,18,6,1
60,3,1,9,1
262,5,6,0,1
995,10,7,9,1
212,5,1,3,0
256,2,1,1,0
174,0,24,4,1
237,8,10,3,1
948,8,2,8,1
233,4,8,2,0
938,5,30,7,1
290,0,3,6,0
891,8,5,2,1
955,6,10,8,1
200,0,0,2,0
478,0,9,9,1
279,2,3,5,1
298,0,2,0,0
139,8,2,0,1
849,2,10,5,1
121,10,23,7,1
38,1,0,1,0
131,2,6,6,1
121,2,10,3,1
247,0,1,2,0
89,10,28,4,1
44,0,3,4,0
110,1,2,5,0
202,1,5,3,0
76,2,2,2,0
259,3,3,3,0
957,1,10,3,1
156,1,9,1,0
88,7,24,7,1
295,2,23,4,1
569,3,1,8,1
210,0,0,4,0
215,1,1,0,0
51,3,3,0,0
314,0,8,5,1
239,2,1,4,0
199,5,17,2,1
100,0,2,6,0
284,9,26,6,1
81,0,2,2,0
247,3,3,8,1
820,3,20,6,1
157,2,16,10,1
168,2,7,2,0
121,0,0,2,0
126,1,2,1,0
148,0,1,6,0
163,0,7,1,0
657,2,4,3,1
760,10,9,7,1
118,0,1,5,1
90,4,27,10,1
795,4,9,6,1
822,2,10,8,1
766,10,11,10,1
78,6,21,3,1
245,2,2,2,0
305,2,6,10,1
247,1,1,4,0
841,4,15,9,1
288,3,1,1,0
101,4,0,5,1
91,3,3,0,0
102,2,0,0,0
155,2,1,1,0
390,6,23,3,1
985,3,10,3,1
284,2,3,1,0
184,2,4,1,0
31,1,2,1,0
170,4,20,7,1
589,8,20,6,1
500,4,18,3,1
254,1,2,2,0
61,1,2,2,0
269,4,1,2,0
56,0,2,1,0
371,4,7,6,1
930,0,8,7,1
474,6,7,7,1
723,6,18,3,1
590,2,30,8,1
474,9,19,7,1
292,1,3,1,0
224,1,6,2,0
129,1,3,4,0
137,4,3,0,0
224,1,1,3,0
475,5,8,3,1
234,2,2,1,0
81,5,23,3,1
553,3,9,10,1
151,1,0,1,0
292,7,3,10,1
743,7,19,5,1
318,4,25,6,1
336,3,27,0,1
155,5,9,2,0
114,10,28,9,1
167,3,4,4,1
955,5,11,5,1
50,4,1,1,0
251,2,2,2,0
130,2,0,2,0
83,8,14,8,1
726,2,22,4,1
182,1,0,1,0
358,0,21,6,1
134,4,15,7,1
289,0,1,1,0
724,6,0,10,1
113,10,9,6,1
72,2,0,2,0
241,4,5,6,1
276,5,27,2,1
212,0,3,3,0
643,5,27,6,1
399,5,23,5,1
188,1,7,0,0
136,0,1,2,0
293,6,27,10,1
357,6,15,7,1
218,0,1,6,1
46,1,3,6,0
299,1,2,0,0
231,9,22,5,1
825,3,22,10,1
66,0,1,2,0
430,1,2,0,0
304,3,25,8,1
164,2,26,10,1
54,1,1,6,0
244,2,2,2,0
800,3,15,3,1
176,0,2,0,0
100,5,3,2,0
363,1,1,2,0
28,1,2,0,0
856,6,4,4,1
68,0,0,2,0
137,2,2,0,0
295,1,2,5,0
325,2,3,0,0
100,7,20,5,1
61,0,10,3,0
103,4,0,2,0
429,2,1,2,0
79,4,25,6,1
49,0,0,0,0
